Altium Designer Pick and Place Locations
C:\Users\Shadow\Desktop\Repos\frm-mw-display\Project Outputs for Combined\AssemblyData\Pick and Place\Pick Place for ltk-mw-display(MAIN).txt

========================================================================================================================
File Design Information:

Date:       30/10/23
Time:       15:18
Revision:   7b611da51e4d80a422afe5d524f4894da2be3bbe
Variant:    MAIN
Units used: mil

Center-X(mil) Center-Y(mil) Comment              Description                                            Designator Footprint                            Layer    Rotation 
2379.450      5294.409      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R1H        RES_0603_1608                        TopLayer 270      
2379.450      6396.771      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R1G        RES_0603_1608                        TopLayer 270      
2379.450      7499.134      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R1F        RES_0603_1608                        TopLayer 270      
1395.198      3089.685      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R1E        RES_0603_1608                        TopLayer 270      
1395.198      4192.047      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R1D        RES_0603_1608                        TopLayer 270      
1395.198      5294.409      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R1C        RES_0603_1608                        TopLayer 270      
1395.198      6396.771      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R1B        RES_0603_1608                        TopLayer 270      
1395.198      7499.134      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R1A        RES_0603_1608                        TopLayer 270      
2933.071      1299.212      PJ-3900-04           "CONN THT 3.5mm AUDIO STEREO AUX SWITCH"               P8         7EF2B92C-0FC9-4C85-B662-5CEC65BFCCC4 TopLayer 180      
216.535       984.253       PJ-3900-04           "CONN THT 3.5mm AUDIO STEREO AUX SWITCH"               P5         7EF2B92C-0FC9-4C85-B662-5CEC65BFCCC4 TopLayer 360      
216.537       1614.173      PJ-3900-04           "CONN THT 3.5mm AUDIO STEREO AUX SWITCH"               P3         7EF2B92C-0FC9-4C85-B662-5CEC65BFCCC4 TopLayer 360      
279.527       400.591       DC-005A-20A          "CONN THT DC JACK 0.5A 30VDC 5Kcycles"                 P1         F0972D8A-C5C0-4A84-836D-A9666EE65C2D TopLayer 360      
2798.583      551.182       292303-1             "CONN THT USB TYPE-A HIGH RELIABILITY"                 P2         8A51F738-712D-4EE5-9D6B-BB16603F834E TopLayer 90       
780.001       428.426       MPZ1608S102ATA00     "FER SMD CHIP 0603 800mA 1K@100MHz 300mOhm"            L1         FER_0603_1608                        TopLayer 0        
-3484.252     -2421.260     "FermiumLABS logo"   "GRAPHICS LOGO FERMIUM LABS SRL"                       GR1        5394DE47-A0E8-4329-8464-7791B7C19310 TopLayer 360      
2637.794      118.110       "IPC-7351A FIDUCIAL" "GRAPHICS FIDUCIAL IPC-7351A"                          FD3        FIDUCIAL-IPC-7351A                   TopLayer 0        
511.812       118.110       "IPC-7351A FIDUCIAL" "GRAPHICS FIDUCIAL IPC-7351A"                          FD2        FIDUCIAL-IPC-7351A                   TopLayer 0        
511.810       1968.504      "IPC-7351A FIDUCIAL" "GRAPHICS FIDUCIAL IPC-7351A"                          FD1        FIDUCIAL-IPC-7351A                   TopLayer 0        
580.000       488.426       "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D11        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 270      
1966.694      891.103       1N4148W-TP           "DIODE SMD 100V 150mA 1.5Vf SOD-123 4148"              D10B       SOD-123                              TopLayer 270      
1966.694      1521.024      1N4148W-TP           "DIODE SMD 100V 150mA 1.5Vf SOD-123 4148"              D10A       SOD-123                              TopLayer 270      
2056.694      891.103       1N4148W-TP           "DIODE SMD 100V 150mA 1.5Vf SOD-123 4148"              D9B        SOD-123                              TopLayer 270      
2056.694      1521.024      1N4148W-TP           "DIODE SMD 100V 150mA 1.5Vf SOD-123 4148"              D9A        SOD-123                              TopLayer 270      
2606.694      941.102       5V                   "DIODE SMD TVS 5V BIDIRECTIONAL SOD-523"               D8B        SOD523F                              TopLayer 270      
2606.694      1571.023      5V                   "DIODE SMD TVS 5V BIDIRECTIONAL SOD-523"               D8A        SOD523F                              TopLayer 270      
516.694       881.104       5V                   "DIODE SMD TVS 5V BIDIRECTIONAL SOD-523"               D7B        SOD523F                              TopLayer 270      
516.694       1511.023      5V                   "DIODE SMD TVS 5V BIDIRECTIONAL SOD-523"               D7A        SOD523F                              TopLayer 270      
1838.744      1183.843      1N4148W-TP           "DIODE SMD 100V 150mA 1.5Vf SOD-123 4148"              D6B        SOD-123                              TopLayer 360      
1838.252      1805.307      1N4148W-TP           "DIODE SMD 100V 150mA 1.5Vf SOD-123 4148"              D6A        SOD-123                              TopLayer 360      
1638.744      1183.843      1N4148W-TP           "DIODE SMD 100V 150mA 1.5Vf SOD-123 4148"              D5B        SOD-123                              TopLayer 360      
1638.252      1805.307      1N4148W-TP           "DIODE SMD 100V 150mA 1.5Vf SOD-123 4148"              D5A        SOD-123                              TopLayer 360      
2066.930      2500.000      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4J        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      3602.362      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4I        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      4704.724      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4H        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      5807.086      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4G        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      6909.448      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4F        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
1082.678      2500.000      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4E        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
1082.678      3602.362      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4D        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
1082.678      4704.724      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4C        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
1082.678      5807.086      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4B        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
1082.678      6909.448      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D4A        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      2775.590      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D3J        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      3877.952      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D3I        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      4980.314      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D3H        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      6082.676      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D3G        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
2066.930      7185.040      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D3F        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
1082.678      2775.590      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D3E        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
1082.678      3877.952      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D3D        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
1082.678      4980.314      "RED 200mcd"         "DIODE LED THT 5MM RED 200mcd"                         D3C        ED49B4F6-595F-4D62-96BB-D7184CAA9B94 TopLayer 0        
